DaysSinceDetection,LineageBroad_BoostTiterGroup,low_ct1,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__,LineageBroad,BoostTiterGroup,Detection group
8.83838383838384,DeltaLowNotBoosted,0.288,1,8.83838383838384,DeltaLowNotBoosted,0.31135510762350377,0.09900997935826063,0.1497956107155012,0.5198632919491465,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
8.83838383838384,OmicronHighBoosted,0.288,1,8.83838383838384,OmicronHighBoosted,0.30136738302247534,0.03401926360150993,0.23890770057052088,0.37276260301780967,Omicron,Boosted: >250 AU/ml,Frequent testing
8.83838383838384,OmicronHighNotBoosted,0.288,1,8.83838383838384,OmicronHighNotBoosted,0.1364360164129524,0.04026797519310776,0.06965511776888522,0.22830517732348451,Omicron,Not Boosted: >250 AU/ml,Frequent testing
8.83838383838384,OmicronLowBoosted,0.288,1,8.83838383838384,OmicronLowBoosted,0.4496269563590641,0.03421876456274137,0.38267395459393383,0.5170673211538083,Omicron,Boosted: ≤250 AU/ml,Frequent testing
8.83838383838384,OmicronLowNotBoosted,0.288,1,8.83838383838384,OmicronLowNotBoosted,0.15803373249825856,0.05404630303677737,0.0713764389099071,0.28106611776876717,Omicron,Not Boosted: ≤250 AU/ml,Frequent testing
8.83838383838384,OtherHighNotBoosted,0.288,1,8.83838383838384,OtherHighNotBoosted,0.3571429280259553,0.054669278277353746,0.24981669536452242,0.4666690045671105,Other,Not Boosted: >250 AU/ml,Frequent testing
8.83838383838384,OtherLowNotBoosted,0.288,1,8.83838383838384,OtherLowNotBoosted,0.15193950187098088,0.06491929634970002,0.058830013063692496,0.3139309010842163,Other,Not Boosted: ≤250 AU/ml,Frequent testing
9.090909090909092,DeltaHighBoosted,0.288,1,9.090909090909092,DeltaHighBoosted,0.8492873695540164,0.10020485634522272,0.6014822143876655,0.9819004232795036,Delta,Boosted: >250 AU/ml,Frequent testing
9.090909090909092,DeltaHighNotBoosted,0.288,1,9.090909090909092,DeltaHighNotBoosted,0.6965819371063882,0.20943566901282892,0.22180034866637077,0.9503348584753528,Delta,Not Boosted: >250 AU/ml,Frequent testing
9.090909090909092,DeltaLowBoosted,0.288,1,9.090909090909092,DeltaLowBoosted,0.9916400661652466,0.010856389384470554,0.8709274350674716,0.9999338479067521,Delta,Boosted: ≤250 AU/ml,Frequent testing
9.090909090909092,DeltaLowNotBoosted,0.288,1,9.090909090909092,DeltaLowNotBoosted,0.273687150562942,0.09323563841662628,0.12219152194022295,0.4806016998633428,Delta,Not Boosted: ≤250 AU/ml,Frequent testing
9.090909090909092,OmicronHighBoosted,0.288,1,9.090909090909092,OmicronHighBoosted,0.27715797328491787,0.0330045804120288,0.2140956605763673,0.34676283886131193,Omicron,Boosted: >250 AU/ml,Frequent testing
9.090909090909092,OmicronHighNotBoosted,0.288,1,9.090909090909092,OmicronHighNotBoosted,0.11620247391835631,0.037413460569271,0.056484077790357225,0.20358687612933404,Omicron,Not Boosted: >250 AU/ml,Frequent testing
